"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2041","User login with wrong email or password","LMS system","Tue Dec 02 14:40:32 UTC 2025","passed","Tue Dec 02 14:40:34 UTC 2025","Authorization","Authentication","",""
"","6860","Create course","LMS system","Tue Dec 02 14:40:58 UTC 2025","passed","Tue Dec 02 14:41:05 UTC 2025","Courses","Courses","",""
"","1514","User login with wrong email or password","LMS system","Tue Dec 02 14:40:37 UTC 2025","passed","Tue Dec 02 14:40:39 UTC 2025","Authorization","Authentication","",""
"","3812","User login with correct email or password","LMS system","Tue Dec 02 14:40:32 UTC 2025","passed","Tue Dec 02 14:40:36 UTC 2025","Authorization","Authentication","",""
"","3343","User login with wrong email or password","LMS system","Tue Dec 02 14:41:01 UTC 2025","passed","Tue Dec 02 14:41:05 UTC 2025","Authorization","Authentication","",""
"","2452","Create course and edit his information","LMS system","Tue Dec 02 14:40:40 UTC 2025","passed","Tue Dec 02 14:40:42 UTC 2025","Courses","Courses","",""
"","9668","test_dashboard_displaying[webkit]","LMS system","Tue Dec 02 14:40:50 UTC 2025","passed","Tue Dec 02 14:41:00 UTC 2025","Dashboard","Dashboard","",""
"","3447","User login with wrong email or password","LMS system","Tue Dec 02 14:40:55 UTC 2025","passed","Tue Dec 02 14:40:59 UTC 2025","Authorization","Authentication","",""
"","2572","Create course","LMS system","Tue Dec 02 14:40:37 UTC 2025","passed","Tue Dec 02 14:40:40 UTC 2025","Courses","Courses","",""
"","2101","Navigate from authorization to registration","LMS system","Tue Dec 02 14:40:32 UTC 2025","passed","Tue Dec 02 14:40:34 UTC 2025","Authorization","Authentication","",""
"","2563","Navigate from authorization to registration","LMS system","Tue Dec 02 14:40:49 UTC 2025","passed","Tue Dec 02 14:40:52 UTC 2025","Authorization","Authentication","",""
"","1758","Check displaying of empty courses list","LMS system","Tue Dec 02 14:41:06 UTC 2025","passed","Tue Dec 02 14:41:08 UTC 2025","Courses","Courses","",""
"","2210","test_dashboard_displaying[chromium]","LMS system","Tue Dec 02 14:41:06 UTC 2025","passed","Tue Dec 02 14:41:08 UTC 2025","Dashboard","Dashboard","",""
"","2401","Registration with correct email, username and password","LMS system","Tue Dec 02 14:41:05 UTC 2025","passed","Tue Dec 02 14:41:07 UTC 2025","Authorization","Authentication","",""
"","14922","Create course and edit his information","LMS system","Tue Dec 02 14:40:50 UTC 2025","passed","Tue Dec 02 14:41:05 UTC 2025","Courses","Courses","",""
"","1845","Registration with correct email, username and password","LMS system","Tue Dec 02 14:41:08 UTC 2025","passed","Tue Dec 02 14:41:10 UTC 2025","Authorization","Authentication","",""
"","12847","User login with correct email or password","LMS system","Tue Dec 02 14:40:49 UTC 2025","passed","Tue Dec 02 14:41:02 UTC 2025","Authorization","Authentication","",""
"","1525","Check displaying of empty courses list","LMS system","Tue Dec 02 14:40:38 UTC 2025","passed","Tue Dec 02 14:40:40 UTC 2025","Courses","Courses","",""
"","1959","User login with wrong email or password","LMS system","Tue Dec 02 14:40:35 UTC 2025","passed","Tue Dec 02 14:40:37 UTC 2025","Authorization","Authentication","",""
"","4159","User login with wrong email or password","LMS system","Tue Dec 02 14:40:49 UTC 2025","passed","Tue Dec 02 14:40:53 UTC 2025","Authorization","Authentication","",""
